🤖 AI BIAS DETECTION REPORT,,,,,
,,,,,
📅 Analysis Date:,"13/09/2025, 19:17:58",,,,
📊 Total Records:,2000,,,,
🏷️ Protected Attributes:,"gender, age",,,,
🎯 Target Columns:,screening_score,,,,
👥 Total Groups:,31,,,,
,,,,,
,,,,,
📋 EXECUTIVE SUMMARY,,,,,
,,,,,
Overall Bias Score:,0.00%,,,,
Risk Level:,LOW,,,,
Key Finding:,Your model shows minimal bias across protected attributes. This is excellent fairness performance.,,,,
,,,,,
,,,,,
📊 OVERALL FAIRNESS METRICS,,,,,
,,,,,
Metric,Value,Interpretation,,,
Average Disparate Impact:,100.00%,Higher is better (>80%),,,
Average Statistical Parity:,0.00%,Lower is better (<10%),,,
Most Biased Attribute:,,Requires immediate attention,,,
Least Biased Attribute:,gender,Good fairness performance,,,
,,,,,
,,,,,
👥 DETAILED GROUP ANALYSIS,,,,,
,,,,,
Protected Attribute: GENDER,,,,,
,,,,,
Group,Count,Percentage,Disparate Impact,Statistical Parity,Bias Severity
Male,1016,50.80%,100.00%,0.00%,0.00%
Female,984,49.20%,100.00%,0.00%,0.00%
,,,,,
,,,,,
Protected Attribute: AGE,,,,,
,,,,,
Group,Count,Percentage,Disparate Impact,Statistical Parity,Bias Severity
21,57,2.90%,100.00%,0.00%,0.00%
22,74,3.70%,100.00%,0.00%,0.00%
23,72,3.60%,100.00%,0.00%,0.00%
24,73,3.60%,100.00%,0.00%,0.00%
25,70,3.50%,100.00%,0.00%,0.00%
26,65,3.30%,100.00%,0.00%,0.00%
27,67,3.40%,100.00%,0.00%,0.00%
28,71,3.50%,100.00%,0.00%,0.00%
29,64,3.20%,100.00%,0.00%,0.00%
30,70,3.50%,100.00%,0.00%,0.00%
31,59,2.90%,100.00%,0.00%,0.00%
32,73,3.60%,100.00%,0.00%,0.00%
33,74,3.70%,100.00%,0.00%,0.00%
34,70,3.50%,100.00%,0.00%,0.00%
35,78,3.90%,100.00%,0.00%,0.00%
36,57,2.90%,100.00%,0.00%,0.00%
37,72,3.60%,100.00%,0.00%,0.00%
38,76,3.80%,100.00%,0.00%,0.00%
39,57,2.90%,100.00%,0.00%,0.00%
40,69,3.50%,100.00%,0.00%,0.00%
41,76,3.80%,100.00%,0.00%,0.00%
42,71,3.50%,100.00%,0.00%,0.00%
43,65,3.30%,100.00%,0.00%,0.00%
44,71,3.50%,100.00%,0.00%,0.00%
45,75,3.80%,100.00%,0.00%,0.00%
46,70,3.50%,100.00%,0.00%,0.00%
47,56,2.80%,100.00%,0.00%,0.00%
48,78,3.90%,100.00%,0.00%,0.00%
49,70,3.50%,100.00%,0.00%,0.00%
,,,,,
,,,,,
🚩 BIAS FLAGS & VIOLATIONS,,,,,
,,,,,
✅ No significant bias violations detected!,,,,,
,,,,,
,,,,,
💡 ACTIONABLE RECOMMENDATIONS,,,,,
,,,,,
No specific recommendations at this time.,,,,,
,,,,,
,,,,,
🧠 AI-POWERED INSIGHTS,,,,,
,,,,,
💬,Your model shows minimal bias across protected attributes. This is excellent fairness performance.,,,,
,Confidence: 95%,,,,
,,,,,
💬,gender representation: Male (50.8%) dominates while Female (49.2%) is underrepresented.,,,,
,Confidence: 90%,,,,
,,,,,
💬,age representation: 35 (3.9%) dominates while 47 (2.8%) is underrepresented.,,,,
,Confidence: 90%,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Group,Count,Percentage,,,
Male,1016,50.8,,,
Female,984,49.2,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Group,Count,Percentage,,,
21,57,2.85,,,
22,74,3.7,,,
23,72,3.6,,,
24,73,3.65,,,
25,70,3.5,,,
26,65,3.25,,,
27,67,3.35,,,
28,71,3.55,,,
29,64,3.2,,,
30,70,3.5,,,
31,59,2.95,,,
32,73,3.65,,,
33,74,3.7,,,
34,70,3.5,,,
35,78,3.9,,,
36,57,2.85,,,
37,72,3.6,,,
38,76,3.8,,,
39,57,2.85,,,
40,69,3.45,,,
41,76,3.8,,,
42,71,3.55,,,
43,65,3.25,,,
44,71,3.55,,,
45,75,3.75,,,
46,70,3.5,,,
47,56,2.8,,,
48,78,3.9,,,
49,70,3.5,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Attribute,Target,Bias Severity,,,
gender,screening_score,0,,,
age,screening_score,0,,,
